Shape,Cut,Color,Clarity,Carat,Length/Width Ratio,Depth %,Table %,Polish,Symmetry,Girdle,Length,Width,Height,Price,Type,price_category,price_category_encoded,Cut_encoded,Color_encoded,Clarity_encoded,Polish_encoded,Symmetry_encoded,Girdle_encoded,Carat_category,Carat_category_encoded
Princess,Ideal,G,VS2,1.01,1.01,72.5,70.0,Excellent,Excellent,Slightly Thick to Thick,5.54,5.49,3.98,2790,GIA,medium,3,5,4,4,4.0,4.0,5.5,small,3
Princess,Ideal,H,VVS1,1.21,1.0,73.4,75.0,Excellent,Excellent,Thick to Very Thick,5.82,5.81,4.26,2790,GIA,medium,3,5,3,7,4.0,4.0,6.5,small,3
Princess,Ideal,F,VS1,1.07,1.02,71.3,67.0,Excellent,Excellent,Medium,5.76,5.67,4.04,1050,IGI Lab-Grown,very low,1,5,5,5,4.0,4.0,4.0,small,3
Round,Excellent,H,VS2,1.09,1.01,62.2,58.0,Excellent,Excellent,Medium to Slightly Thick,6.51,6.56,4.06,4000,GIA,high,4,4,3,4,4.0,4.0,4.5,small,3
Cushion Modified,Ideal,F,VS1,1.7,1.02,66.0,60.0,Excellent,Excellent,Slightly Thick to Thick,7.03,6.86,4.53,3780,GIA Lab-Grown,medium,3,5,5,5,4.0,4.0,5.5,medium,4
Round,Excellent,E,VS1,1.57,1.0,60.9,56.0,Excellent,Excellent,Thin to Medium,7.52,7.54,4.58,1790,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,3.5,medium,4
Cushion,Ideal,D,VS1,3.11,1.03,65.8,62.0,Excellent,Excellent,Thick to Very Thick,8.88,8.61,5.66,6970,GIA Lab-Grown,very high,5,5,7,5,4.0,4.0,6.5,ultra large (3+),7
Princess,Ideal,G,VS2,1.04,1.02,73.4,74.0,Excellent,Excellent,Medium to Slightly Thick,5.61,5.52,4.05,2810,GIA,medium,3,5,4,4,4.0,4.0,4.5,small,3
Princess,Ideal,G,VVS1,1.04,1.04,73.4,67.0,Excellent,Very Good,Thick,5.72,5.49,4.03,4170,GIA,high,4,5,4,7,4.0,3.0,6.0,small,3
Cushion Modified,Ideal,F,VVS1,1.39,1.02,69.1,59.0,Excellent,Excellent,Thick to Very Thick,6.32,6.21,4.29,4840,GIA Lab-Grown,very high,5,5,5,7,4.0,4.0,6.5,small,3
Princess,Ideal,E,VS1,1.22,1.0,74.6,66.0,Excellent,Excellent,Slightly Thick,5.73,5.71,4.26,1190,IGI Lab-Grown,low,2,5,6,5,4.0,4.0,5.0,small,3
Round,Excellent,E,VS1,1.57,1.0,61.5,57.0,Excellent,Excellent,Medium to Slightly Thick,7.45,7.47,4.59,1790,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.5,medium,4
Round,Excellent,D,VS1,1.5,1.01,60.4,60.0,Excellent,Excellent,Medium to Slightly Thick,7.37,7.43,4.47,1760,GIA Lab-Grown,low,2,4,7,5,4.0,4.0,4.5,small,3
Cushion Modified,Ideal,E,VVS1,1.76,1.02,68.9,58.0,Excellent,Excellent,Slightly Thick to Very Thick,6.92,6.77,4.66,3470,GIA Lab-Grown,medium,3,5,6,7,4.0,4.0,6.5,medium,4
Cushion Modified,Very Good,G,VS2,1.02,1.1,70.6,58.0,Excellent,Excellent,Slightly Thick to Thick,5.81,5.28,3.73,2420,GIA,medium,3,3,4,4,4.0,4.0,5.5,small,3
Princess,Very Good,E,VS2,1.01,1.0,76.3,69.0,Excellent,Very Good,Thin to Very Thick,5.29,5.28,4.03,3190,GIA,medium,3,3,6,4,4.0,3.0,5.5,small,3
Round,Excellent,H,VS2,1.0,1.01,60.5,61.0,Excellent,Excellent,Slightly Thick,6.42,6.46,3.9,4120,GIA,high,4,4,3,4,4.0,4.0,5.0,extra small,2
Round,Excellent,E,VS1,1.53,1.0,61.2,58.0,Excellent,Excellent,Medium to Slightly Thick,7.4,7.43,4.54,1740,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.5,medium,4
Princess,Ideal,E,VVS2,1.04,1.01,71.7,65.0,Excellent,Excellent,Medium,5.54,5.47,3.92,1210,IGI Lab-Grown,low,2,5,6,6,4.0,4.0,4.0,small,3
Princess,Ideal,F,VVS2,1.01,1.02,70.0,70.0,Excellent,Excellent,Medium to Slightly Thick,5.53,5.43,3.8,1130,IGI Lab-Grown,very low,1,5,5,6,4.0,4.0,4.5,small,3
Round,Ideal,D,VS1,1.55,1.0,61.4,58.0,Excellent,Excellent,Medium,7.42,7.45,4.57,1810,IGI Lab-Grown,low,2,5,7,5,4.0,4.0,4.0,medium,4
Round,Very Good,E,VS2,1.0,1.01,64.6,58.0,Excellent,Very Good,Thin to Thick,6.14,6.22,4.0,3780,GIA,medium,3,3,6,4,4.0,3.0,4.5,extra small,2
Princess,Ideal,E,VVS2,1.02,1.03,69.6,70.0,Excellent,Excellent,Thick,5.55,5.37,3.74,1190,IGI Lab-Grown,low,2,5,6,6,4.0,4.0,6.0,small,3
Princess,Ideal,E,VS1,1.08,1.0,72.6,70.0,Excellent,Excellent,Medium,5.53,5.52,4.01,1070,IGI Lab-Grown,very low,1,5,6,5,4.0,4.0,4.0,small,3
Princess,Ideal,D,VS1,1.01,1.01,72.9,71.0,Excellent,Excellent,Medium,5.43,5.36,3.91,1090,IGI Lab-Grown,very low,1,5,7,5,4.0,4.0,4.0,small,3
Princess,Ideal,E,VVS2,1.04,1.01,72.7,70.0,Excellent,Excellent,Medium,5.51,5.43,3.95,1210,IGI Lab-Grown,low,2,5,6,6,4.0,4.0,4.0,small,3
Princess,Ideal,H,VVS2,1.01,1.01,72.7,71.0,Excellent,Excellent,Thin to Slightly Thick,5.7,5.63,4.09,3370,GIA,medium,3,5,3,6,4.0,4.0,4.0,small,3
Round,Excellent,D,VS1,1.57,1.01,61.8,57.0,Excellent,Excellent,Medium,7.43,7.48,4.61,1840,GIA Lab-Grown,low,2,4,7,5,4.0,4.0,4.0,medium,4
Cushion Modified,Very Good,G,VS1,1.01,1.14,66.9,64.0,Excellent,Excellent,Slightly Thick to Thick,6.33,5.54,3.7,2350,GIA,low,2,3,4,5,4.0,4.0,5.5,small,3
Princess,Ideal,E,VVS2,1.01,1.04,72.2,67.0,Excellent,Excellent,Medium,5.67,5.46,3.94,1180,IGI Lab-Grown,low,2,5,6,6,4.0,4.0,4.0,small,3
Princess,Ideal,E,VS1,1.01,1.03,73.3,71.0,Excellent,Excellent,Slightly Thick to Thick,5.41,5.26,3.86,3880,GIA,high,4,5,6,5,4.0,4.0,5.5,small,3
Round,Excellent,G,VS2,1.08,1.01,62.5,58.0,Excellent,Excellent,Slightly Thick,6.48,6.52,4.07,4050,GIA,high,4,4,4,4,4.0,4.0,5.0,small,3
Round,Ideal,D,VS1,1.57,1.0,61.3,58.0,Excellent,Excellent,Medium,7.46,7.49,4.58,1840,IGI Lab-Grown,low,2,5,7,5,4.0,4.0,4.0,medium,4
Round,Excellent,H,VS2,1.01,1.01,62.8,57.0,Excellent,Excellent,Medium to Slightly Thick,6.35,6.4,4.0,4010,GIA,high,4,4,3,4,4.0,4.0,4.5,small,3
Cushion,Ideal,E,VVS2,2.03,1.01,66.8,63.0,Excellent,Excellent,Medium to Slightly Thick,7.43,7.33,4.9,3550,IGI Lab-Grown,medium,3,5,6,6,4.0,4.0,4.5,large,5
Round,Excellent,H,VS2,1.0,1.01,63.6,56.0,Excellent,Excellent,Thin to Slightly Thick,6.29,6.34,4.02,4020,GIA,high,4,4,3,4,4.0,4.0,4.0,extra small,2
Round,Excellent,G,VS2,1.0,1.01,61.4,62.0,Very Good,Very Good,Slightly Thick,6.33,6.41,3.91,4040,GIA,high,4,4,4,4,3.0,3.0,5.0,extra small,2
Round,Excellent,H,VS2,1.05,1.01,62.6,59.0,Excellent,Excellent,Medium to Slightly Thick,6.44,6.49,4.05,3910,GIA,high,4,4,3,4,4.0,4.0,4.5,small,3
Princess,Ideal,G,VVS1,1.01,1.03,73.0,73.0,Very Good,Very Good,Medium to Slightly Thick,5.71,5.53,4.03,4140,GIA,high,4,5,4,7,3.0,3.0,4.5,small,3
Round,Excellent,F,VS2,1.0,1.01,63.5,56.0,Excellent,Very Good,Thin to Slightly Thick,6.29,6.35,4.02,4000,GIA,high,4,4,5,4,4.0,3.0,4.0,extra small,2
Princess,Ideal,G,VS2,1.03,1.01,71.4,72.0,Excellent,Excellent,Medium,5.71,5.66,4.04,2840,GIA,medium,3,5,4,4,4.0,4.0,4.0,small,3
Princess,Ideal,D,VS2,1.0,1.01,72.2,71.0,Excellent,Very Good,Medium to Slightly Thick,5.58,5.55,4.01,3370,GIA,medium,3,5,7,4,4.0,3.0,4.5,extra small,2
Round,Excellent,G,VS2,1.0,1.01,62.3,58.0,Excellent,Excellent,Slightly Thick,6.32,6.36,3.95,3960,GIA,high,4,4,4,4,4.0,4.0,5.0,extra small,2
Round,Very Good,H,VVS2,1.0,1.01,64.5,55.0,Excellent,Excellent,Slightly Thick to Thick,6.21,6.25,4.01,3960,GIA,high,4,3,3,6,4.0,4.0,5.5,extra small,2
Round,Excellent,H,VS2,1.0,1.01,62.4,56.0,Excellent,Excellent,Slightly Thick,6.34,6.38,3.97,4140,GIA,high,4,4,3,4,4.0,4.0,5.0,extra small,2
Cushion Modified,Ideal,H,VS2,1.0,1.01,71.0,58.0,Excellent,Very Good,Thick to Very Thick,5.4,5.37,3.81,2050,GIA,low,2,5,3,4,4.0,3.0,6.5,extra small,2
Princess,Ideal,E,VVS2,1.0,1.0,71.1,67.0,Excellent,Excellent,Medium to Slightly Thick,5.44,5.43,3.86,1160,IGI Lab-Grown,low,2,5,6,6,4.0,4.0,4.5,extra small,2
Cushion Modified,Ideal,D,VS1,1.59,1.01,66.1,62.0,Excellent,Excellent,Slightly Thick to Thick,6.8,6.75,4.46,3470,GIA Lab-Grown,medium,3,5,7,5,4.0,4.0,5.5,medium,4
Round,Excellent,H,VS2,1.0,1.0,62.0,59.0,Excellent,Excellent,Medium to Slightly Thick,6.37,6.4,3.96,4120,GIA,high,4,4,3,4,4.0,4.0,4.5,extra small,2
Cushion Modified,Ideal,D,VS1,1.95,1.03,62.0,62.0,Excellent,Excellent,Slightly Thick to Thick,7.72,7.48,4.64,3370,GIA Lab-Grown,medium,3,5,7,5,4.0,4.0,5.5,medium,4
Round,Excellent,E,VS1,1.58,1.01,62.1,58.0,Excellent,Excellent,Medium to Slightly Thick,7.4,7.46,4.62,4050,IGI Lab-Grown,high,4,4,6,5,4.0,4.0,4.5,medium,4
Princess,Ideal,F,VS2,1.01,1.02,72.3,72.0,Excellent,Excellent,Medium to Slightly Thick,5.46,5.36,3.87,3210,GIA,medium,3,5,5,4,4.0,4.0,4.5,small,3
Cushion Modified,Ideal,E,VVS2,1.57,1.02,66.0,60.0,Excellent,Excellent,Medium to Thick,6.73,6.63,4.38,2330,GIA Lab-Grown,low,2,5,6,6,4.0,4.0,5.0,medium,4
Round,Excellent,H,VS1,1.02,1.01,60.0,58.0,Excellent,Excellent,Slightly Thick,6.51,6.55,3.92,4100,GIA,high,4,4,3,5,4.0,4.0,5.0,small,3
Princess,Ideal,E,VVS2,1.05,1.03,70.7,69.0,Excellent,Excellent,Medium,5.78,5.59,3.95,1210,IGI Lab-Grown,low,2,5,6,6,4.0,4.0,4.0,small,3
Round,Excellent,F,VS2,1.07,1.01,62.5,56.0,Excellent,Excellent,Thin to Medium,6.52,6.56,4.09,1210,GIA,low,2,4,5,4,4.0,4.0,3.5,small,3
Princess,Ideal,E,VS1,1.09,1.01,69.9,70.0,Excellent,Excellent,Medium,5.7,5.64,3.94,1080,IGI Lab-Grown,very low,1,5,6,5,4.0,4.0,4.0,small,3
Princess,Ideal,G,VVS1,1.01,1.01,69.1,71.0,Excellent,Very Good,Slightly Thick to Thick,5.7,5.62,3.88,4050,GIA,high,4,5,4,7,4.0,3.0,5.5,small,3
Round,Excellent,E,VS1,1.57,1.01,61.9,58.0,Excellent,Excellent,Medium to Slightly Thick,7.4,7.44,4.6,1790,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.5,medium,4
Cushion Modified,Ideal,F,VS1,1.56,1.03,65.7,61.0,Excellent,Excellent,Medium to Slightly Thick,6.87,6.68,4.39,1790,GIA Lab-Grown,low,2,5,5,5,4.0,4.0,4.5,medium,4
Cushion,Ideal,D,VS1,2.08,1.01,66.7,62.0,Excellent,Excellent,Medium to Slightly Thick,7.4,7.36,4.91,3560,IGI Lab-Grown,medium,3,5,7,5,4.0,4.0,4.5,large,5
Round,Excellent,H,VS1,1.07,1.01,62.1,59.0,Excellent,Excellent,Medium to Slightly Thick,6.54,6.58,4.07,3920,GIA,high,4,4,3,5,4.0,4.0,4.5,small,3
Round,Excellent,E,VS1,1.54,1.0,62.4,57.0,Excellent,Excellent,Medium to Slightly Thick,7.37,7.39,4.61,1760,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.5,medium,4
Round,Excellent,F,VS2,1.0,1.01,60.8,61.0,Very Good,Very Good,Medium to Slightly Thick,6.42,6.46,3.92,3890,GIA,high,4,4,5,4,3.0,3.0,4.5,extra small,2
Cushion Modified,Very Good,H,VS1,1.01,1.27,69.4,60.0,Excellent,Excellent,Slightly Thick to Thick,6.44,5.08,3.52,2150,GIA,low,2,3,3,5,4.0,4.0,5.5,small,3
Princess,Ideal,H,VS2,1.01,1.01,72.5,70.0,Excellent,Excellent,Slightly Thick to Thick,5.49,5.46,3.96,2670,GIA,medium,3,5,3,4,4.0,4.0,5.5,small,3
Princess,Ideal,F,VVS2,1.06,1.01,70.6,69.0,Excellent,Excellent,Medium,5.69,5.61,3.96,1180,IGI Lab-Grown,low,2,5,5,6,4.0,4.0,4.0,small,3
Princess,Very Good,H,VS1,1.0,1.03,75.5,71.0,Very Good,Very Good,Slightly Thick to Thick,5.42,5.28,3.99,3010,GIA,medium,3,3,3,5,3.0,3.0,5.5,extra small,2
Round,Excellent,H,VS2,1.12,1.01,62.5,57.0,Excellent,Excellent,Medium to Slightly Thick,6.58,6.63,4.13,3560,GIA,medium,3,4,3,4,4.0,4.0,4.5,small,3
Princess,Ideal,H,VVS2,1.01,1.02,73.7,70.0,Excellent,Very Good,Slightly Thick to Thick,5.48,5.37,3.96,3150,GIA,medium,3,5,3,6,4.0,3.0,5.5,small,3
Cushion Modified,Ideal,F,VS1,2.58,1.01,67.2,62.0,Excellent,Excellent,Medium to Slightly Thick,7.96,7.87,5.29,4780,GIA Lab-Grown,very high,5,5,5,5,4.0,4.0,4.5,extra large,6
Cushion Modified,Ideal,F,VS1,2.53,1.02,65.1,64.0,Excellent,Excellent,Thin to Medium,8.07,7.91,5.15,5690,GIA Lab-Grown,very high,5,5,5,5,4.0,4.0,3.5,extra large,6
Round,Excellent,H,VS2,1.02,1.01,62.0,57.0,Excellent,Excellent,Medium to Slightly Thick,6.41,6.46,3.99,3970,GIA,high,4,4,3,4,4.0,4.0,4.5,small,3
Cushion Modified,Ideal,F,VS1,2.51,1.02,66.1,63.0,Excellent,Excellent,Slightly Thick to Thick,8.0,7.84,5.18,1090,GIA Lab-Grown,very low,1,5,5,5,4.0,4.0,5.5,extra large,6
Round,Very Good,G,VS2,1.0,1.01,64.5,58.0,Excellent,Very Good,Thick,6.15,6.23,3.99,4000,GIA,high,4,3,4,4,4.0,3.0,6.0,extra small,2
Princess,Ideal,D,VS1,1.01,1.02,70.3,66.0,Excellent,Excellent,Medium,5.54,5.43,3.82,1090,IGI Lab-Grown,very low,1,5,7,5,4.0,4.0,4.0,small,3
Round,Excellent,H,VVS2,1.0,1.0,61.8,59.0,Excellent,Very Good,Medium to Slightly Thick,6.39,6.4,3.95,4000,GIA,high,4,4,3,6,4.0,3.0,4.5,extra small,2
Princess,Ideal,G,VVS1,1.0,1.02,73.0,74.0,Very Good,Very Good,Slightly Thick,5.6,5.51,4.02,3150,GIA,medium,3,5,4,7,3.0,3.0,5.0,extra small,2
Princess,Ideal,E,VS1,1.24,1.0,72.6,69.0,Excellent,Excellent,Medium,5.79,5.77,4.19,1210,IGI Lab-Grown,low,2,5,6,5,4.0,4.0,4.0,small,3
Princess,Ideal,D,VS1,1.01,1.0,71.8,69.0,Excellent,Excellent,Thick to Very Thick,5.4,5.38,3.86,1090,GIA Lab-Grown,very low,1,5,7,5,4.0,4.0,6.5,small,3
Round,Excellent,H,VS2,1.08,1.01,62.8,58.0,Excellent,Excellent,Slightly Thick,6.5,6.54,4.09,3690,GIA,medium,3,4,3,4,4.0,4.0,5.0,small,3
Round,Ideal,D,VS1,1.57,1.0,60.9,58.0,Excellent,Excellent,Medium to Slightly Thick,7.47,7.5,4.56,1840,IGI Lab-Grown,low,2,5,7,5,4.0,4.0,4.5,medium,4
Round,Excellent,D,VS1,1.54,1.0,62.1,56.0,Excellent,Excellent,Medium to Slightly Thick,7.36,7.39,4.58,1800,GIA Lab-Grown,low,2,4,7,5,4.0,4.0,4.5,medium,4
Princess,Ideal,F,VVS2,1.01,1.01,72.7,71.0,Excellent,Excellent,Slightly Thick to Thick,5.48,5.43,3.95,1130,GIA Lab-Grown,very low,1,5,5,6,4.0,4.0,5.5,small,3
Princess,Ideal,E,VS1,1.04,1.01,72.6,72.0,Excellent,Excellent,Slightly Thick to Thick,5.48,5.44,3.95,1040,GIA Lab-Grown,very low,1,5,6,5,4.0,4.0,5.5,small,3
Round,Excellent,G,VS2,1.0,1.02,59.9,62.0,Excellent,Very Good,Medium to Slightly Thick,6.39,6.49,3.86,4090,GIA,high,4,4,4,4,4.0,3.0,4.5,extra small,2
Cushion,Ideal,D,VVS2,1.74,1.02,65.9,63.0,Very Good,Excellent,Thick to Very Thick,7.23,7.09,4.68,2990,GIA Lab-Grown,medium,3,5,7,6,3.0,4.0,6.5,medium,4
Cushion,Ideal,F,VS1,3.5,1.02,65.2,65.0,Excellent,Excellent,Medium to Slightly Thick,9.04,8.9,5.8,6220,IGI Lab-Grown,very high,5,5,5,5,4.0,4.0,4.5,ultra large (3+),7
Princess,Ideal,E,VS1,1.0,1.05,71.1,75.0,Very Good,Very Good,Medium to Slightly Thick,5.8,5.53,3.93,4300,GIA,high,4,5,6,5,3.0,3.0,4.5,extra small,2
Round,Excellent,H,VS2,1.03,1.0,60.6,59.0,Excellent,Excellent,Medium to Slightly Thick,6.51,6.53,3.95,3710,GIA,medium,3,4,3,4,4.0,4.0,4.5,small,3
Cushion Modified,Ideal,E,VS1,2.94,1.02,67.8,60.0,Excellent,Excellent,Slightly Thick to Thick,8.35,8.18,5.55,4730,GIA Lab-Grown,very high,5,5,6,5,4.0,4.0,5.5,extra large,6
Cushion Modified,Ideal,D,IF,1.97,1.01,64.9,58.0,Excellent,Excellent,Slightly Thick to Thick,7.18,7.13,4.63,8200,GIA Lab-Grown,very high,5,5,7,8,4.0,4.0,5.5,medium,4
Princess,Ideal,F,VVS1,1.01,1.0,73.4,72.0,Excellent,Very Good,Thick to Very Thick,5.46,5.45,4.01,4320,GIA,high,4,5,5,7,4.0,3.0,6.5,small,3
Cushion Modified,Ideal,F,IF,1.0,1.02,64.2,60.0,Excellent,Very Good,Medium to Very Thick,5.75,5.61,3.6,3910,GIA Lab-Grown,high,4,5,5,8,4.0,3.0,6.0,extra small,2
Round,Ideal,D,VS1,1.59,1.01,60.7,59.0,Excellent,Excellent,Medium,7.5,7.56,4.57,1860,IGI Lab-Grown,low,2,5,7,5,4.0,4.0,4.0,medium,4
Cushion,Ideal,E,IF,1.27,1.02,67.7,62.0,Excellent,Excellent,Medium to Slightly Thick,6.28,6.17,4.18,3080,IGI Lab-Grown,medium,3,5,6,8,4.0,4.0,4.5,small,3
Round,Excellent,E,VS1,1.59,1.01,61.0,57.0,Excellent,Excellent,Medium,7.52,7.56,4.6,1810,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.0,medium,4
Princess,Very Good,G,VS1,1.01,1.04,71.5,78.0,Excellent,Very Good,Medium to Slightly Thick,5.71,5.5,3.93,2830,GIA,medium,3,3,4,5,4.0,3.0,4.5,small,3
Princess,Ideal,D,VS1,1.06,1.04,72.7,69.0,Excellent,Very Good,Medium to Slightly Thick,5.74,5.52,4.01,1090,GIA Lab-Grown,very low,1,5,7,5,4.0,3.0,4.5,small,3
Round,Excellent,H,VS2,1.01,1.01,62.8,60.0,Excellent,Excellent,Slightly Thick,6.34,6.39,4.0,3940,GIA,high,4,4,3,4,4.0,4.0,5.0,small,3
Cushion,Ideal,F,VS1,1.7,1.02,69.2,63.0,Excellent,Excellent,Medium to Slightly Thick,6.85,6.73,4.66,3010,IGI Lab-Grown,medium,3,5,5,5,4.0,4.0,4.5,medium,4
Princess,Ideal,E,VVS2,1.03,1.03,70.8,67.0,Excellent,Excellent,Medium to Slightly Thick,5.6,5.45,3.86,1200,IGI Lab-Grown,low,2,5,6,6,4.0,4.0,4.5,small,3
Princess,Ideal,E,VS2,1.01,1.01,72.8,73.0,Excellent,Very Good,Thin to Thick,5.49,5.46,3.98,4330,GIA,high,4,5,6,4,4.0,3.0,4.5,small,3
Round,Excellent,H,VS2,1.01,1.0,60.5,58.0,Excellent,Excellent,Medium to Slightly Thick,6.45,6.48,3.91,3780,GIA,medium,3,4,3,4,4.0,4.0,4.5,small,3
Round,Excellent,D,VS1,1.51,1.0,61.9,57.0,Excellent,Excellent,Medium to Slightly Thick,7.32,7.35,4.54,1770,GIA Lab-Grown,low,2,4,7,5,4.0,4.0,4.5,medium,4
Round,Excellent,E,VS1,1.56,1.01,60.9,58.0,Excellent,Excellent,Medium,7.47,7.52,4.56,1780,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.0,medium,4
Round,Excellent,H,VS2,1.0,1.01,58.4,61.0,Excellent,Excellent,Thin to Medium,6.54,6.58,3.83,3750,GIA,medium,3,4,3,4,4.0,4.0,3.5,extra small,2
Round,Excellent,E,VS1,1.54,1.0,61.4,58.0,Excellent,Excellent,Medium,7.42,7.45,4.57,1760,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.0,medium,4
Princess,Ideal,G,VS1,1.01,1.02,72.7,71.0,Excellent,Very Good,Slightly Thick to Thick,5.46,5.35,3.89,3630,GIA,medium,3,5,4,5,4.0,3.0,5.5,small,3
Princess,Ideal,E,VVS2,1.0,1.03,74.3,71.0,Excellent,Excellent,Slightly Thick,5.46,5.29,3.93,1160,IGI Lab-Grown,low,2,5,6,6,4.0,4.0,5.0,extra small,2
Round,Ideal,D,VS1,1.58,1.01,60.9,58.0,Excellent,Excellent,Medium,7.5,7.55,4.58,1850,IGI Lab-Grown,low,2,5,7,5,4.0,4.0,4.0,medium,4
Princess,Ideal,G,VVS1,1.04,1.02,73.2,73.0,Excellent,Very Good,Thin to Medium,5.75,5.65,4.14,3400,GIA,medium,3,5,4,7,4.0,3.0,3.5,small,3
Round,Excellent,H,VS2,1.0,1.0,62.4,59.0,Excellent,Excellent,Medium to Slightly Thick,6.34,6.37,3.96,4050,GIA,high,4,4,3,4,4.0,4.0,4.5,extra small,2
Round,Excellent,H,VS1,1.09,1.0,61.9,59.0,Excellent,Excellent,Slightly Thick,6.55,6.58,4.06,4020,GIA,high,4,4,3,5,4.0,4.0,5.0,small,3
Princess,Ideal,G,VS1,1.02,1.0,72.6,68.0,Excellent,Very Good,Thick to Very Thick,5.41,5.41,3.93,3040,GIA,medium,3,5,4,5,4.0,3.0,6.5,small,3
Round,Excellent,E,VS1,1.58,1.01,61.6,57.0,Excellent,Excellent,Medium to Slightly Thick,7.45,7.49,4.61,1800,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.5,medium,4
Round,Excellent,H,VS2,1.01,1.01,62.5,59.0,Excellent,Excellent,Slightly Thick,6.36,6.41,3.99,4050,GIA,high,4,4,3,4,4.0,4.0,5.0,small,3
Round,Excellent,E,VS1,1.52,1.01,60.9,59.0,Excellent,Excellent,Medium to Slightly Thick,7.38,7.42,4.51,1730,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.5,medium,4
Princess,Ideal,F,VS2,1.01,1.01,72.5,69.0,Excellent,Very Good,Medium to Slightly Thick,5.53,5.48,3.98,3340,GIA,medium,3,5,5,4,4.0,3.0,4.5,small,3
Princess,Ideal,E,VS1,1.07,1.02,69.9,68.0,Excellent,Excellent,Slightly Thick,5.67,5.54,3.87,1060,IGI Lab-Grown,very low,1,5,6,5,4.0,4.0,5.0,small,3
Round,Excellent,E,VS1,1.53,1.01,61.6,57.0,Excellent,Excellent,Medium to Slightly Thick,7.37,7.41,4.55,1740,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.5,medium,4
Cushion Modified,Ideal,E,VS1,1.58,1.02,66.2,62.0,Excellent,Excellent,Slightly Thick to Thick,6.84,6.72,4.45,1740,GIA Lab-Grown,low,2,5,6,5,4.0,4.0,5.5,medium,4
Princess,Ideal,D,VS1,1.03,1.01,72.6,70.0,Excellent,Excellent,Medium,5.54,5.47,3.97,1110,IGI Lab-Grown,very low,1,5,7,5,4.0,4.0,4.0,small,3
Princess,Very Good,H,VVS2,1.0,1.01,75.1,69.0,Excellent,Very Good,Thick to Very Thick,5.37,5.31,3.99,2580,GIA,medium,3,3,3,6,4.0,3.0,6.5,extra small,2
Round,Excellent,D,VS1,1.51,1.01,60.6,57.0,Excellent,Excellent,Medium to Slightly Thick,7.39,7.44,4.49,1770,GIA Lab-Grown,low,2,4,7,5,4.0,4.0,4.5,medium,4
Cushion Modified,Ideal,D,VS1,1.71,1.03,64.6,64.0,Excellent,Excellent,Thin to Slightly Thick,7.18,6.98,4.51,1770,GIA Lab-Grown,low,2,5,7,5,4.0,4.0,4.0,medium,4
Round,Excellent,H,VS2,1.0,1.01,62.3,55.0,Excellent,Excellent,Slightly Thick,6.35,6.41,3.97,3860,GIA,high,4,4,3,4,4.0,4.0,5.0,extra small,2
Princess,Ideal,G,VS2,1.03,1.01,74.0,71.0,Excellent,Very Good,Very Thick,5.46,5.43,4.02,4320,GIA,high,4,5,4,4,4.0,3.0,7.0,small,3
Round,Very Good,H,VS1,1.0,1.01,64.9,58.0,Excellent,Very Good,Slightly Thick to Thick,6.16,6.21,4.01,3560,GIA,medium,3,3,3,5,4.0,3.0,5.5,extra small,2
Princess,Ideal,D,VS1,1.02,1.01,69.6,68.0,Excellent,Excellent,Medium,5.53,5.5,3.83,1100,IGI Lab-Grown,very low,1,5,7,5,4.0,4.0,4.0,small,3
Princess,Ideal,E,VS1,1.11,1.0,71.1,70.0,Excellent,Excellent,Medium,5.65,5.64,4.01,1100,IGI Lab-Grown,very low,1,5,6,5,4.0,4.0,4.0,small,3
Princess,Ideal,G,VS2,1.0,1.02,72.8,73.0,Excellent,Very Good,Thin to Slightly Thick,5.61,5.5,4.0,3000,GIA,medium,3,5,4,4,4.0,3.0,4.0,extra small,2
Princess,Ideal,G,VS2,1.02,1.01,73.9,72.0,Excellent,Excellent,Slightly Thick to Thick,5.41,5.34,3.95,3030,GIA,medium,3,5,4,4,4.0,4.0,5.5,small,3
Princess,Ideal,D,VS1,1.03,1.02,71.5,68.0,Excellent,Excellent,Medium,5.61,5.51,3.94,1110,IGI Lab-Grown,very low,1,5,7,5,4.0,4.0,4.0,small,3
Round,Excellent,D,VS1,1.53,1.0,61.7,56.0,Excellent,Excellent,Medium to Slightly Thick,7.39,7.42,4.57,1790,GIA Lab-Grown,low,2,4,7,5,4.0,4.0,4.5,medium,4
Princess,Ideal,E,VVS2,1.01,1.01,74.5,70.0,Excellent,Excellent,Slightly Thick,5.38,5.34,3.98,1180,IGI Lab-Grown,low,2,5,6,6,4.0,4.0,5.0,small,3
Cushion Modified,Very Good,H,VS2,1.0,1.07,69.4,62.0,Excellent,Excellent,Slightly Thick to Thick,5.75,5.37,3.72,2140,GIA,low,2,3,3,4,4.0,4.0,5.5,extra small,2
